pseudocode,building_status,no_building_blocks,pucca_building_blocks,boundary_wall,total_class_rooms,other_rooms,classrooms_in_good_condition,classrooms_needs_minor_repair,classrooms_needs_major_repair,separate_room_for_hm,total_boys_toilet,total_boys_func_toilet,total_girls_toilet,total_girls_func_toilet,total_boys_cwsn_toilet,func_boys_cwsn_friendly,total_girls_cwsn_toilet,func_girls_cwsn_friendly,urinal_boys,urinal_girls,handwash_near_toilet,hand_pump_yn,well_prot_yn,tap_yn,othsrc_yn,well_unprot_yn,pack_water_yn,hand_pump_fun_yn,well_prot_fun_yn,tap_fun_yn,othsrc_fun_yn,well_unprot_fun_yn,pack_water_fun_yn,rain_water_harvesting,handwash_facility_for_meal,electricity_availability,solar_panel,library_availability,book_bank,reading_corner,playground_available,playground_alt_yn,medical_checkups,availability_ramps,availability_of_handrails,furniture_availability,phy_lab_cond,chem_lab_cond,bio_lab_cond,math_lab_cond,lang_lab_cond,geo_lab_cond,home_sc_lab_cond,psycho_lab_cond,comp_lab_cond,comp_ict_lab_yn,ict_lab_yn,laptop,tablet,desktop,digiboard,teachdev_tot,server_tot,smart_class_tv_tot,projector,printer,internet,dth,spl_educator_yn
2440495,1,0,5,2,0,1,20,1,0,1,4,4,4,4,1,1,0,0,3,12,1,2,1,2,2,2,2,2,1,2,2,2,2,2,1,1,2,1,2,2,2,1,1,1,2,1,0,0,0,0,0,0,0,0,0,2,9,9,0,1,4,0,0,1,3,1,1,2,2
9730757,1,0,3,5,0,4,3,5,0,1,1,1,1,1,0,0,0,0,3,3,1,2,1,2,2,2,2,2,1,2,2,2,2,2,1,1,2,1,2,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,9,5,0,1,0,0,0,0,2,0,1,2,2
9670246,1,0,1,1,0,4,7,0,0,1,4,4,2,2,0,0,0,0,1,1,1,2,1,1,2,2,2,2,1,1,2,2,2,1,1,1,2,1,2,1,1,9,1,2,9,1,0,0,0,0,0,0,0,0,0,1,9,0,0,2,0,0,0,0,0,1,1,2,3
8173868,1,0,2,1,0,10,22,0,0,1,13,12,15,13,2,2,2,2,15,17,1,2,1,1,2,2,2,2,1,1,2,2,2,2,1,1,2,1,1,1,1,9,1,1,1,1,1,1,1,3,3,3,3,3,1,1,9,2,1,15,0,0,1,3,3,3,1,2,1
5826721,1,0,32,7,0,10,26,0,0,1,3,3,3,3,1,1,1,1,10,11,1,1,1,1,2,2,2,1,1,1,2,2,2,2,1,1,2,1,1,1,1,9,1,1,2,1,2,2,2,2,3,3,3,3,2,1,1,33,0,0,0,0,0,12,15,1,1,2,1
2846558,1,0,5,5,0,4,14,0,0,1,1,1,4,3,0,0,1,1,4,10,1,2,1,2,2,2,2,2,1,2,2,2,2,2,1,1,2,1,2,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,6,0,6,0,0,0,0,2,1,1,2,3
8296703,3,0,3,2,0,7,19,4,0,1,3,2,10,7,1,0,0,0,2,8,1,2,1,1,1,2,2,2,1,1,1,2,2,2,1,1,1,1,1,2,2,1,1,1,1,2,0,0,0,0,0,0,0,0,0,1,1,15,0,2,0,0,0,3,6,1,1,2,1
1919197,1,0,1,5,0,1,5,0,0,1,1,1,1,1,0,0,0,0,1,1,1,2,1,2,2,2,2,2,1,2,2,2,2,2,1,1,2,1,1,1,1,9,1,1,2,1,0,0,0,0,0,0,0,0,0,2,9,2,0,0,0,0,0,0,1,1,1,2,3
9435939,1,0,7,1,0,9,16,0,0,1,8,8,4,4,2,2,2,2,3,3,1,2,1,2,2,2,2,2,1,2,2,2,2,2,1,1,2,1,2,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,6,0,0,0,0,0,0,2,0,1,1,1
8325691,1,0,1,5,0,1,5,0,0,2,1,1,1,1,0,0,0,0,0,0,1,2,1,2,2,2,2,2,1,2,2,2,2,2,1,1,2,2,1,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,2,0,0,0,0,0,0,1,0,1,2,3
1893669,1,0,1,1,0,5,9,0,0,1,4,4,4,4,0,0,0,0,0,0,1,2,1,2,2,2,2,2,1,2,2,2,2,2,1,1,2,1,2,2,1,9,1,2,9,1,0,0,0,0,0,0,0,0,0,1,9,1,0,3,0,0,0,0,1,1,1,2,1
6600843,3,0,4,2,0,4,50,0,0,2,11,11,30,30,0,0,0,0,9,5,1,2,1,2,2,2,2,2,1,2,2,2,2,2,1,1,1,1,1,2,1,9,1,1,1,2,4,4,4,4,4,4,4,4,1,1,1,46,0,2,0,0,0,20,23,3,1,2,1
3020911,1,0,0,1,0,2,5,0,0,1,1,1,1,1,0,0,0,0,2,3,1,2,1,2,2,2,2,2,1,2,2,2,2,2,1,1,2,1,1,2,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,3,0,0,0,0,0,0,2,0,2,2,2
8546193,1,0,4,1,0,10,40,0,0,1,20,20,20,20,1,1,2,2,21,21,1,2,1,1,1,2,2,2,1,1,1,2,2,2,1,1,2,1,1,1,1,9,1,1,2,1,1,1,1,4,4,4,4,4,4,1,1,30,0,0,0,0,0,6,7,2,1,2,1
2539015,3,0,2,1,0,4,17,0,0,1,3,2,3,2,0,0,0,0,1,0,1,2,1,2,2,2,2,2,1,2,2,2,2,2,1,1,2,1,2,2,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,1,1,9,0,6,0,0,1,0,3,0,1,2,3
1846286,1,0,6,1,0,13,74,0,0,1,29,29,19,19,0,0,0,0,1,1,1,2,1,2,2,2,2,2,1,2,2,2,2,2,1,1,2,1,2,2,1,9,2,1,1,1,1,1,1,4,4,4,4,4,1,1,2,19,0,24,0,0,4,0,46,1,1,2,1
5879562,1,0,2,1,0,1,5,0,0,2,1,1,1,1,0,0,0,0,1,1,1,2,1,1,2,2,2,2,1,1,2,2,2,2,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,2,0,0,0,0,0,0,1,0,1,2,3
4633815,3,0,1,1,0,1,4,2,0,2,1,1,1,1,1,1,0,0,3,3,2,2,1,2,2,2,2,2,1,2,2,2,2,2,1,1,2,1,2,2,2,2,1,1,2,2,0,0,0,0,0,0,0,0,0,2,9,4,1,2,0,0,0,1,2,2,1,2,3
9547241,1,0,4,2,0,1,4,2,0,2,3,3,3,3,0,0,0,0,3,3,1,2,1,2,2,2,2,2,1,2,2,2,2,2,1,1,2,1,2,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,3,0,3,0,0,0,0,2,1,1,2,2
